In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 167, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 105, EFPA: -5.22, SIGMA: 1.39, APO : 2430.53
RUN #: 168, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 194, EFPA: -5.15, SIGMA: -1.65, APO : 3276.91
RUN #: 169, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 90, EFPA: -5.18, SIGMA: -0.04, APO : 1684.36
RUN #: 170, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 145, EFPA: -5.18, SIGMA: -0.15, APO : 1943.34
RUN #: 171, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 200, EFPA: -5.18, SIGMA: 1.62, APO : 2313.15
RUN #: 172, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 117, EFPA: -5.22, SIGMA: -1.20, APO : 2463.15
RUN #: 173, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 45, EFPA: -5.20, SIGMA: -0.87, APO : 1836.11
RUN #: 174, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 190, EFPA: -5.14, SIGMA: -0.45, APO : 1828.32
RUN #: 175, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 57, EFPA: -5.15, SIGMA: -0.43, APO : 1813.00
RUN #: 176, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 102, EFPA: -5.17, SIGMA: -0.42, APO : 1905.97
RUN #: 177, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 120, EFPA: -5.24, SIGMA: -1.39, APO : 1782.49
RUN #: 178, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 110, EFPA: -5.15, SIGMA: 0.76, APO : 1777.98
RUN #: 179, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 192, EFPA: -5.13, SIGMA: 0.47, APO : 1749.37
RUN #: 180, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 115, EFPA: -5.20, SIGMA: 0.07, APO : 1991.97
RUN #: 181, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 108, EFPA: -5.20, SIGMA: 0.28, APO : 2331.10
RUN #: 182, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 105, EFPA: -5.20, SIGMA: 1.78, APO : 1873.13
